"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","111","createNewOrder[3]","","","passed","","","CreatingOrderTest","CreatingOrderTest",""
"","132","createNewOrder[2]","","","passed","","","CreatingOrderTest","CreatingOrderTest",""
"","5202","listOfOrders","","","passed","","","ListOfOrdersTest","ListOfOrdersTest",""
"","76","loginCourierBezLogina","","","passed","","","CourierLoginTest","CourierLoginTest",""
"","105","createNewOrder[0]","","","passed","","","CreatingOrderTest","CreatingOrderTest",""
"","86","creatingCourierBezParolya","","","passed","","","CreatingCourierTest","CreatingCourierTest",""
"","416","creatingCourierPovtor","","","passed","","","CreatingCourierTest","CreatingCourierTest",""
"","80","loginCourierBezParolya","","","passed","","","CourierLoginTest","CourierLoginTest",""
"","46","creatingCourierBezLogina","","","passed","","","CreatingCourierTest","CreatingCourierTest",""
"","117","courierErrorPassword","","","passed","","","CourierLoginTest","CourierLoginTest",""
"","78","createNewOrder[1]","","","passed","","","CreatingOrderTest","CreatingOrderTest",""
"","2542","courierErrorLogin","","","passed","","","CourierLoginTest","CourierLoginTest",""
"","336","courierCreatingAndLoginPozitive","","","passed","","","CreatingCourierTest","CreatingCourierTest",""
